id,title,price,promo_price,url,city
3475282,Конструктор LEGO DUPLO Classic Веселый день рождения 10958,6 589,4 999,https://www.detmir.ru/product/index/id/3475282/,Санкт-Петербург и Ленинградская область
3596974,Конструктор LEGO Ninjago Дар Судьбы Решающая битва 71749,4 309,2 999,https://www.detmir.ru/product/index/id/3596974/,Санкт-Петербург и Ленинградская область
3597019,Конструктор LEGO Ninjago Храм Бескрайнего моря 71755,11 989,9 999,https://www.detmir.ru/product/index/id/3597019/,Санкт-Петербург и Ленинградская область
3244480,Конструктор LEGO DUPLO Башенный кран на стройке 10933,11 989,9 499,https://www.detmir.ru/product/index/id/3244480/,Санкт-Петербург и Ленинградская область
3233714,Конструктор LEGO DUPLO Большая строительная пластина 2304,1 549,1 299,https://www.detmir.ru/product/index/id/3233714/,Санкт-Петербург и Ленинградская область
3244473,Конструктор LEGO DUPLO Бульдозер 10930,889,649,https://www.detmir.ru/product/index/id/3244473/,Санкт-Петербург и Ленинградская область
3596714,Конструктор LEGO Mickey and Friends Космическая ракета Микки и Минни 10774,1 909,1 599,https://www.detmir.ru/product/index/id/3596714/,Санкт-Петербург и Ленинградская область
3405526,Конструктор LEGO DUPLO My First Единорог 10953,949,659,https://www.detmir.ru/product/index/id/3405526/,Санкт-Петербург и Ленинградская область
3758560,Конструктор LEGO Star Wars Легкий имперский крейсер 75315,16 189,,https://www.detmir.ru/product/index/id/3758560/,Санкт-Петербург и Ленинградская область
3596785,Конструктор LEGO Friends Американские горки на Волшебной ярмарке 41685,10 189,8 799,https://www.detmir.ru/product/index/id/3596785/,Санкт-Петербург и Ленинградская область
3596759,Конструктор LEGO DUPLO Town Парк развлечений 10956,11 989,8 299,https://www.detmir.ru/product/index/id/3596759/,Санкт-Петербург и Ленинградская область
618981,Конструктор LEGO Classic Строительная пластина зеленого цвета (10700),829,599,https://www.detmir.ru/product/index/id/618981/,Санкт-Петербург и Ленинградская область
3405548,Конструктор LEGO Friends Органическое кафе Хартлейк-Сити 41444,3 109,2 129,https://www.detmir.ru/product/index/id/3405548/,Санкт-Петербург и Ленинградская область
3596921,Конструктор LEGO City Wildlife 60302,10 189,7 999,https://www.detmir.ru/product/index/id/3596921/,Санкт-Петербург и Ленинградская область
3405551,Конструктор LEGO Friends Торговый центр Хартлейк Сити 41450,11 389,,https://www.detmir.ru/product/index/id/3405551/,Санкт-Петербург и Ленинградская область
3405584,Конструктор LEGO City Fire Команда пожарных 60282,5 989,,https://www.detmir.ru/product/index/id/3405584/,Санкт-Петербург и Ленинградская область
3475287,Конструктор LEGO Friends Парк Хартлейк Сити 41447,4 309,3 199,https://www.detmir.ru/product/index/id/3475287/,Санкт-Петербург и Ленинградская область
3405528,Конструктор LEGO DUPLO My First Пожарный вертолет и полицейский автомобиль 10957,949,849,https://www.detmir.ru/product/index/id/3405528/,Санкт-Петербург и Ленинградская область
4058545,Конструктор LEGO Disney Princess 43200,2 029,,https://www.detmir.ru/product/index/id/4058545/,Санкт-Петербург и Ленинградская область
3193108,Конструктор LEGO Disney Frozen Волшебный ледяной замок Эльзы 43172,7 789,,https://www.detmir.ru/product/index/id/3193108/,Санкт-Петербург и Ленинградская область
3596877,Конструктор LEGO Technic Бульдозер Cat D11T 42131,49 189,,https://www.detmir.ru/product/index/id/3596877/,Санкт-Петербург и Ленинградская область
3596920,Конструктор LEGO City Wildlife Спасательный внедорожник для зверей 60301,4 549,3 999,https://www.detmir.ru/product/index/id/3596920/,Санкт-Петербург и Ленинградская область
3405535,Конструктор LEGO Classic Прозрачные кубики 11013,3 109,,https://www.detmir.ru/product/index/id/3405535/,Санкт-Петербург и Ленинградская область
3405614,Конструктор LEGO Super Mario дополнительный набор загадочное испытание растения-пираньи 71382,3 229,2 099,https://www.detmir.ru/product/index/id/3405614/,Санкт-Петербург и Ленинградская область
3405550,Конструктор LEGO Friends Дом семьи Андреа 41449,7 789,6 999,https://www.detmir.ru/product/index/id/3405550/,Санкт-Петербург и Ленинградская область
3596876,Конструктор LEGO Technic Полноприводный грузовик-внедорожник Mercedes-Benz Zetros 42129,31 189,,https://www.detmir.ru/product/index/id/3596876/,Санкт-Петербург и Ленинградская область
3405544,Конструктор LEGO Disney Princess Королевская карета Золушки 43192,4 309,3 869,https://www.detmir.ru/product/index/id/3405544/,Санкт-Петербург и Ленинградская область
3985290,Конструктор LEGO Super Heroes Бэтмобиль Тумблер 76240,26 389,,https://www.detmir.ru/product/index/id/3985290/,Санкт-Петербург и Ленинградская область
3596756,Конструктор LEGO DUPLO Town Гоночные машины 10947,5 389,3 769,https://www.detmir.ru/product/index/id/3596756/,Санкт-Петербург и Ленинградская область
3244614,Конструктор LEGO Technic Lamborghini Sian FKP 37 42115,44 149,,https://www.detmir.ru/product/index/id/3244614/,Санкт-Петербург и Ленинградская область
3596888,Конструктор LEGO City Stunt 60298,709,629,https://www.detmir.ru/product/index/id/3596888/,Санкт-Петербург и Ленинградская область
3620623,Конструктор LEGO Mickey and Friends Ферма Микки и Дональда 10775,3 109,2 399,https://www.detmir.ru/product/index/id/3620623/,Санкт-Петербург и Ленинградская область
3200882,Конструктор LEGO Disney Frozen Шкатулка Эльзы 41168,4 309,3 869,https://www.detmir.ru/product/index/id/3200882/,Санкт-Петербург и Ленинградская область
3498474,Конструктор LEGO Vidiyo Бэндмейты 43101,469,229,https://www.detmir.ru/product/index/id/3498474/,Санкт-Петербург и Ленинградская область
3777764,Конструктор LEGO City Occasions Новогодний календарь 60303,2 029,,https://www.detmir.ru/product/index/id/3777764/,Санкт-Петербург и Ленинградская область
3596770,Конструктор LEGO Creator Колесо обозрения 31119,10 189,,https://www.detmir.ru/product/index/id/3596770/,Санкт-Петербург и Ленинградская область
3597052,Конструктор LEGO Jurassic World Скелет тираннозавра на выставке 76940,3 349,,https://www.detmir.ru/product/index/id/3597052/,Санкт-Петербург и Ленинградская область
3405577,Конструктор LEGO My City Скейт-парк 60290,3 139,2 799,https://www.detmir.ru/product/index/id/3405577/,Санкт-Петербург и Ленинградская область
3597021,Конструктор LEGO Star Wars Дуэль на Мандалоре 75310,2 149,1 499,https://www.detmir.ru/product/index/id/3597021/,Санкт-Петербург и Ленинградская область
3596763,Конструктор LEGO Classic Вокруг света 11015,5 389,4 499,https://www.detmir.ru/product/index/id/3596763/,Санкт-Петербург и Ленинградская область
3599721,Конструктор LEGO VIDIYO Candy Castle Stage (Сцена карамельного замка) 43111,2 989,1 489,https://www.detmir.ru/product/index/id/3599721/,Санкт-Петербург и Ленинградская область
3777767,Конструктор LEGO Harry Potter Новогодний календарь 76390,3 109,,https://www.detmir.ru/product/index/id/3777767/,Санкт-Петербург и Ленинградская область
3405655,Конструктор LEGO Technic Ferrari 488 GTE 42125,20 269,,https://www.detmir.ru/product/index/id/3405655/,Санкт-Петербург и Ленинградская область
3234225,Конструктор LEGO Trolls Путешествие Розочки на воздушном шаре 41252,3 589,2 342,https://www.detmir.ru/product/index/id/3234225/,Санкт-Петербург и Ленинградская область
3777569,Конструктор LEGO Friends Новогодний календарь 41690,2 389,,https://www.detmir.ru/product/index/id/3777569/,Санкт-Петербург и Ленинградская область
3405555,Конструктор LEGO Friends Ветеринарная клиника Хартлейк-Сити 41446,4 309,,https://www.detmir.ru/product/index/id/3405555/,Санкт-Петербург и Ленинградская область
3597051,Конструктор LEGO Jurassic World Побег стигимолоха 76939,4 429,3 899,https://www.detmir.ru/product/index/id/3597051/,Санкт-Петербург и Ленинградская область
3099183,Конструктор LEGO City Trains Рельсы 60205,1 789,,https://www.detmir.ru/product/index/id/3099183/,Санкт-Петербург и Ленинградская область
3596882,Конструктор LEGO Disney Princess Ледяной замок 43197,23 629,,https://www.detmir.ru/product/index/id/3596882/,Санкт-Петербург и Ленинградская область
3226570,Конструктор LEGO Classic Кубики и домики 11008,1 909,,https://www.detmir.ru/product/index/id/3226570/,Санкт-Петербург и Ленинградская область
3597053,Конструктор LEGO Jurassic World Погоня за карнотавром 76941,5 509,,https://www.detmir.ru/product/index/id/3597053/,Санкт-Петербург и Ленинградская область
3594634,Конструктор LEGO Star Wars Имперский разведывательный дроид 75306,8 389,,https://www.detmir.ru/product/index/id/3594634/,Санкт-Петербург и Ленинградская область
3244612,Конструктор LEGO Technic Самосвал Volvo 6*6 42114,27 589,,https://www.detmir.ru/product/index/id/3244612/,Санкт-Петербург и Ленинградская область
3597029,Конструктор LEGO Super Heroes «Мстители: Финал» — решающая битва 76192,10 189,,https://www.detmir.ru/product/index/id/3597029/,Санкт-Петербург и Ленинградская область
3405542,Конструктор LEGO Creator Пляжный домик серферов 31118,5 389,,https://www.detmir.ru/product/index/id/3405542/,Санкт-Петербург и Ленинградская область
3594628,Конструктор LEGO Super Heroes Битва в древней деревне 76177,4 429,,https://www.detmir.ru/product/index/id/3594628/,Санкт-Петербург и Ленинградская область
3244544,Конструктор LEGO Minions Тренировочный полёт 75547,3 589,,https://www.detmir.ru/product/index/id/3244544/,Санкт-Петербург и Ленинградская область
3405549,Конструктор LEGO Friends Кинотеатр Хартлейк-Сити 41448,5 389,4 299,https://www.detmir.ru/product/index/id/3405549/,Санкт-Петербург и Ленинградская область
3596878,Конструктор LEGO Disney Princess Книга сказочных приключений Ариэль Белль Золушки и Тианы 43193,2 389,,https://www.detmir.ru/product/index/id/3596878/,Санкт-Петербург и Ленинградская область
3405636,Конструктор LEGO Minecraft Коралловый риф 21164,1 189,,https://www.detmir.ru/product/index/id/3405636/,Санкт-Петербург и Ленинградская область
3596926,Конструктор LEGO Super Mario Падающая башня босса братца-сумо 71388,3 229,2 599,https://www.detmir.ru/product/index/id/3596926/,Санкт-Петербург и Ленинградская область
3188096,Конструктор LEGO DUPLO Princess Ледяной замок 10899,5 389,4 849,https://www.detmir.ru/product/index/id/3188096/,Санкт-Петербург и Ленинградская область
3475286,Конструктор LEGO Friends Набор кубиков Хартлейк Сити 41431,4 309,,https://www.detmir.ru/product/index/id/3475286/,Санкт-Петербург и Ленинградская область
3596783,Конструктор LEGO Friends Лесной клуб верховой езды 41683,7 789,6 199,https://www.detmir.ru/product/index/id/3596783/,Санкт-Петербург и Ленинградская область
