id,title,price,promo_price,url
3596785,Конструктор LEGO Friends Американские горки на Волшебной ярмарке 41685,10 189,8 799,https://www.detmir.ru/product/index/id/3596785/
3596759,Конструктор LEGO DUPLO Town Парк развлечений 10956,11 989,8 299,https://www.detmir.ru/product/index/id/3596759/
618981,Конструктор LEGO Classic Строительная пластина зеленого цвета (10700),829,599,https://www.detmir.ru/product/index/id/618981/
3405548,Конструктор LEGO Friends Органическое кафе Хартлейк-Сити 41444,3 109,2 129,https://www.detmir.ru/product/index/id/3405548/
3596921,Конструктор LEGO City Wildlife 60302,10 189,7 999,https://www.detmir.ru/product/index/id/3596921/
3244609,Конструктор LEGO MINDSTORMS EV3 Робот-изобретатель 51515,38 389,32 599,https://www.detmir.ru/product/index/id/3244609/
3405551,Конструктор LEGO Friends Торговый центр Хартлейк Сити 41450,11 389,,https://www.detmir.ru/product/index/id/3405551/
3405584,Конструктор LEGO City Fire Команда пожарных 60282,5 989,,https://www.detmir.ru/product/index/id/3405584/
3475287,Конструктор LEGO Friends Парк Хартлейк Сити 41447,4 309,3 199,https://www.detmir.ru/product/index/id/3475287/
3405528,Конструктор LEGO DUPLO My First Пожарный вертолет и полицейский автомобиль 10957,949,849,https://www.detmir.ru/product/index/id/3405528/
4058545,Конструктор LEGO Disney Princess 43200,2 029,,https://www.detmir.ru/product/index/id/4058545/
3193108,Конструктор LEGO Disney Frozen Волшебный ледяной замок Эльзы 43172,7 789,,https://www.detmir.ru/product/index/id/3193108/
3596877,Конструктор LEGO Technic Бульдозер Cat D11T 42131,49 189,,https://www.detmir.ru/product/index/id/3596877/
3596920,Конструктор LEGO City Wildlife Спасательный внедорожник для зверей 60301,4 549,3 999,https://www.detmir.ru/product/index/id/3596920/
3405535,Конструктор LEGO Classic Прозрачные кубики 11013,3 109,,https://www.detmir.ru/product/index/id/3405535/
3405614,Конструктор LEGO Super Mario дополнительный набор загадочное испытание растения-пираньи 71382,3 229,2 099,https://www.detmir.ru/product/index/id/3405614/
3405550,Конструктор LEGO Friends Дом семьи Андреа 41449,7 789,6 999,https://www.detmir.ru/product/index/id/3405550/
3596876,Конструктор LEGO Technic Полноприводный грузовик-внедорожник Mercedes-Benz Zetros 42129,31 189,,https://www.detmir.ru/product/index/id/3596876/
3405544,Конструктор LEGO Disney Princess Королевская карета Золушки 43192,4 309,3 869,https://www.detmir.ru/product/index/id/3405544/
3985290,Конструктор LEGO Super Heroes Бэтмобиль Тумблер 76240,26 389,,https://www.detmir.ru/product/index/id/3985290/
3596756,Конструктор LEGO DUPLO Town Гоночные машины 10947,5 389,3 769,https://www.detmir.ru/product/index/id/3596756/
3092804,Конструктор LEGO DUPLO Town Рельсы (10882),2 149,,https://www.detmir.ru/product/index/id/3092804/
3244547,Конструктор LEGO Minions Миньоны и дом 75551,5 629,,https://www.detmir.ru/product/index/id/3244547/
3596888,Конструктор LEGO City Stunt 60298,709,629,https://www.detmir.ru/product/index/id/3596888/
3620623,Конструктор LEGO Mickey and Friends Ферма Микки и Дональда 10775,3 109,2 399,https://www.detmir.ru/product/index/id/3620623/
3200882,Конструктор LEGO Disney Frozen Шкатулка Эльзы 41168,4 309,3 869,https://www.detmir.ru/product/index/id/3200882/
3498474,Конструктор LEGO Vidiyo Бэндмейты 43101,469,229,https://www.detmir.ru/product/index/id/3498474/
